,Title,Company,Pack,Link,Discounted Price,Orignal Price
523,Albumin Human 50ml,Nabi Qasim,Pack Size: 1Vialx50ml,https://dawaai.pk/medicine/albumin-human-150ml-37184.html,"6,648","7,387"
524,Anvol,Aspin Pharma,Pack Size: 1 x 14's,https://dawaai.pk/medicine/anvol-5mg-37210.html,269,299
525,Airflo,Amson,Pack Size: 2x7's,https://dawaai.pk/medicine/airflo-5mg-chewable-tab-37240.html,90,100
526,Airflo,Amson,Pack Size: 2x7's,https://dawaai.pk/medicine/airflo-10mg-37241.html,101,112
527,Axal,Amson,Pack Size: 3x10's,https://dawaai.pk/medicine/axal-025mg-37244.html,33,37
528,Axal,Amson,Pack Size: 3x10's,https://dawaai.pk/medicine/axal-05mg-37245.html,60,66
529,Axal,Amson,Pack Size: 3x10's,https://dawaai.pk/medicine/axal-1mg-37246.html,88,98
530,Avor,PCW,Pack Size: 10x10's,https://dawaai.pk/medicine/avor-1mg-37312.html,12,13
531,Accutane,Aims Pharma,Pack Size: 10's,https://dawaai.pk/medicine/accutane-20mg-37341.html,626,695
532,Acnewin,Maxitech Pharma,Pack Size: 30's,https://dawaai.pk/medicine/acnewin-20mg-37477.html,"1,508","1,675"
533,Arbev,Maxitech Pharma,Pack Size: 1,https://dawaai.pk/medicine/arbev-37618.html,493,548
534,Alogel Soft Gel capsules,Maxitech Pharma,Pack Size: 20's,https://dawaai.pk/medicine/alogel-soft-gel-capsules-37777.html,266,295
535,Aquazole,Martin Dow,Pack Size: 10gm,https://dawaai.pk/medicine/aquazole-10gm-37795.html,91,102
536,Ambac 0.75mg,Bosch,Pack Size: 1 vial,https://dawaai.pk/medicine/ambac-075mg-37803.html,140,156
537,Ambac 1.5 gm,Bosch,Pack Size: 1.5gm,https://dawaai.pk/medicine/ambac-15-gm-37804.html,211,234
538,Atem,Chiesi,Pack Size: 5 Vial x 2 ml,https://dawaai.pk/medicine/atem-1-38229.html,79,88
539,Amtas,Getz Pharma,Pack Size: 2 x 7's,https://dawaai.pk/medicine/amtas-10mg40mg-38323.html,164,183
540,Actifed-P Cold,GlaxoSmithKline,Pack Size: 40x10's,https://dawaai.pk/medicine/actifed-p-cold-38342.html,24,27
541,Avor,PCW,Pack Size: 10x10's,https://dawaai.pk/medicine/avor-38415.html,18,20
542,Analphene,Lisko,Pack Size: 10 x10's,https://dawaai.pk/medicine/analphene-1-38894.html,11,12
543,Analin,Medicaids,Pack Size: 10 Amp,https://dawaai.pk/medicine/analin-5-38918.html,910,"1,011"
544,Ashtec,E-Lite,Pack Size: 5 Amp,https://dawaai.pk/medicine/ashtec-4-38919.html,223,248
545,Ashtec,E-Lite,Pack Size: 5 Amp,https://dawaai.pk/medicine/ashtec-5-38920.html,288,320
546,Astadol,Asta RL,Pack Size: 2x10's,https://dawaai.pk/medicine/astadol-1-39033.html,86,95
547,Atopalm Moisturizing Body Wash 300ml,Others,Pack Size: 1,https://dawaai.pk/medicine/atopalm-moisturizing-body-wash-300ml-39174.html,"2,633","2,925"
548,Angiocard SR,Biogenics,Pack Size: 3x10's,https://dawaai.pk/medicine/angiocard-sr-40003.html,108,120
549,Amparcet,Aims Pharma,Pack Size: 20x10's,https://dawaai.pk/medicine/amparcet-2-40437.html,6,7
550,Axamol,Axis,Pack Size: 20x10's,https://dawaai.pk/medicine/axamol-1-40443.html,6,7
551,Amole Plus,Libra,Pack Size: 1x200's,https://dawaai.pk/medicine/amole-plus-2-40847.html,198,220
552,Apecirin,Alfalah Pharma,Pack Size: 1000's,https://dawaai.pk/medicine/apecirin-2-40890.html,162,180
553,Apecirin,Alfalah Pharma,Pack Size: 200's,https://dawaai.pk/medicine/apecirin-3-40891.html,109,121
554,Ascamol,Eros,Pack Size: 1000's,https://dawaai.pk/medicine/ascamol-2-40892.html,270,300
555,Aspirin,Ideal,Pack Size: Jarx1000's,https://dawaai.pk/medicine/aspirin-20-40894.html,315,350
556,Aspirin,Nawab sons,Pack Size: 1000's,https://dawaai.pk/medicine/aspirin-21-40895.html,155,172
557,Arbev,Well.pk,Pack Size: 10x10,https://dawaai.pk/medicine/arbev-1-41048.html,36,40
558,Acnewin,Wns Field,Pack Size: 10s,https://dawaai.pk/medicine/acnewin-5-41049.html,467,519
559,Aminophylline,LCPW,Pack Size: 50 ampx10 ml,https://dawaai.pk/medicine/aminophylline-42702.html,468,520
560,Aminophylline,Unexo,Pack Size: 1000's,https://dawaai.pk/medicine/aminophylline-3-42705.html,212,236
561,Amphiline,E-Lite,Pack Size: 50 ampx10 ml,https://dawaai.pk/medicine/amphiline-42706.html,315,350
562,Asmolin,Irza,Pack Size: 1000's,https://dawaai.pk/medicine/asmolin-42708.html,225,250
563,Aeromax,Shrooq,Pack Size: 10's,https://dawaai.pk/medicine/aeromax-42754.html,180,200
564,Aeromax,Shrooq,Pack Size: 10's,https://dawaai.pk/medicine/aeromax-1-42755.html,117,130
565,Aireez,Pharm Evo,Pack Size: 30's,https://dawaai.pk/medicine/aireez-1-42757.html,702,780
566,Aireez,Pharm Evo,Pack Size: 30's,https://dawaai.pk/medicine/aireez-3-42759.html,486,540
567,Airex,Biorex,Pack Size: 14's,https://dawaai.pk/medicine/airex-42760.html,279,310
568,Airex,Biorex,Pack Size: 14's,https://dawaai.pk/medicine/airex-1-42761.html,216,240
569,Airvent,Shrooq,Pack Size: 14 sachet,https://dawaai.pk/medicine/airvent-42762.html,151,168
570,Albokast,Albro,Pack Size: 2x7's,https://dawaai.pk/medicine/albokast-42763.html,160,178
571,Albokast,Albro,Pack Size: 2x7's,https://dawaai.pk/medicine/albokast-1-42764.html,108,120
572,Alerkast,Medifine,Pack Size: 14's,https://dawaai.pk/medicine/alerkast-42765.html,266,295
573,Alerkast,Medifine,Pack Size: 14's,https://dawaai.pk/medicine/alerkast-1-42766.html,180,200
574,Allerkast,Benson,Pack Size: 14's,https://dawaai.pk/medicine/allerkast-42767.html,279,310
575,Alukast,Alliance,Pack Size: 14's,https://dawaai.pk/medicine/alukast-42768.html,279,310
576,Alukast,Alliance,Pack Size: 14's,https://dawaai.pk/medicine/alukast-1-42769.html,216,240
577,Amacure,Jawa,Pack Size: 14's,https://dawaai.pk/medicine/amacure-42770.html,279,310
578,Amacure,Jawa,Pack Size: 14's,https://dawaai.pk/medicine/amacure-1-42771.html,216,240
579,Amisped,Sanofi,Pack Size: 14's,https://dawaai.pk/medicine/amisped-42772.html,227,252
580,Amisped,Sanofi,Pack Size: 14's,https://dawaai.pk/medicine/amisped-1-42773.html,151,168
581,Asfree,Medisure,Pack Size: 14's,https://dawaai.pk/medicine/asfree-42775.html,189,210
582,Asfree,Medisure,Pack Size: 14's,https://dawaai.pk/medicine/asfree-1-42776.html,149,165
583,Asmakast,Epla,Pack Size: 14's,https://dawaai.pk/medicine/asmakast-42777.html,227,252
584,Asmakast,Epla,Pack Size: 14's,https://dawaai.pk/medicine/asmakast-1-42778.html,171,190
585,Asmakast,Epla,Pack Size: 14's,https://dawaai.pk/medicine/asmakast-2-42779.html,126,140
586,Asmax,Epharm,Pack Size: 14's,https://dawaai.pk/medicine/asmax-42780.html,279,310
587,Asmax,Epharm,Pack Size: 14's,https://dawaai.pk/medicine/asmax-1-42781.html,216,240
588,Astel,Fynk,Pack Size: 14's,https://dawaai.pk/medicine/astel-42782.html,279,310
589,Awakast,Usawa,Pack Size: 2x7's,https://dawaai.pk/medicine/awakast-42788.html,140,155
590,Awakast,Usawa,Pack Size: 2x7's,https://dawaai.pk/medicine/awakast-1-42789.html,90,100
591,Aerolin,Ankaz,Pack Size: 1000's,https://dawaai.pk/medicine/aerolin-3-43043.html,407,452
592,Aerolin,Ankaz,Pack Size: 1000's,https://dawaai.pk/medicine/aerolin-5-43045.html,628,698
593,Astamol,Siza,Pack Size: 10 Amp,https://dawaai.pk/medicine/astamol-43051.html,103,114
594,Asthamol,Epoch,Pack Size: 250's,https://dawaai.pk/medicine/asthamol-4-43057.html,126,140
595,Asthamol,Epoch,Pack Size: 10x10's,https://dawaai.pk/medicine/asthamol-6-43059.html,9,11
596,Asmanyl,Mediceena,Pack Size: 100's,https://dawaai.pk/medicine/asmanyl-1-43160.html,105,117
597,Asthalin,Eros,Pack Size: 10 x 10's,https://dawaai.pk/medicine/asthalin-43174.html,12,13
598,Adipen,Lisko,Pack Size: 30's,https://dawaai.pk/medicine/adipen-43217.html,99,110
599,Anifed Tab Retard,Tread Pharma,Pack Size: 50's,https://dawaai.pk/medicine/anifed-tab-retard-43218.html,168,187
600,Adalat CC Tab,Bayer,Pack Size: 2x10's,https://dawaai.pk/medicine/adalat-cc-tab-43223.html,731,812
601,Asthiven,Scilife,Pack Size: 2x14's,https://dawaai.pk/medicine/asthiven-10mg-43433.html,126,140
602,Alevia,Macter,Pack Size: 30's,https://dawaai.pk/medicine/alevia-43495.html,486,540
603,Adora Tablet,Dyson R L,Pack Size: 20's,https://dawaai.pk/medicine/adora-43529.html,338,375
604,Alprazolam 0.5mg,Pacific Pharma,Pack Size: 3x10's,https://dawaai.pk/medicine/alprazolam-05mg-43587.html,67,74
605,Agnar,Getz Pharma,Pack Size: 30's,https://dawaai.pk/medicine/agnar-43752.html,632,702
606,Asunra,Novartis,Pack Size: 5x6's,https://dawaai.pk/medicine/asunra-43895.html,"1,914","2,127"
607,Always Diamond Ultra Thin,Always,Pack Size: 1,https://dawaai.pk/medicine/always-diamond-ultra-thin-43916.html,342,380
608,Actemra,Roche,Pack Size: 0.9ml,https://dawaai.pk/medicine/actemra-44043.html,"18,795","20,883"
609,Amodip,Mass-PH Health,Pack Size: 2x10's,https://dawaai.pk/medicine/amodip-3-44168.html,123,137
610,Amodip,Mass-PH Health,Pack Size: 2x10's,https://dawaai.pk/medicine/amodip-4-44169.html,360,400
611,Astaxan,reign,Pack Size: 30's,https://dawaai.pk/medicine/astaxan-44205.html,896,995
612,Address,Scotman,Pack Size: 1x14's,https://dawaai.pk/medicine/address-44244.html,208,231
613,Address,Scotman,Pack Size: 1x14's,https://dawaai.pk/medicine/address-1-44247.html,275,305
614,Address,Scotman,Pack Size: 1x14's,https://dawaai.pk/medicine/address-2-44248.html,323,359
615,AfterBiotic,Scotman,Pack Size: 1x30's,https://dawaai.pk/medicine/afterbiotic-caps-44327.html,"1,080","1,200"
616,Acnot,Zafa,Pack Size: 1x21's,https://dawaai.pk/medicine/acnot-44982.html,315,350
617,Adriblastina,Pfizer,Pack Size: 1 Vial,https://dawaai.pk/medicine/adriblastina-44995.html,"2,479","2,754"
618,Aireez,Pharm Evo,Pack Size: 1x14's,https://dawaai.pk/medicine/aireez-4-45011.html,239,266
619,Aventriax,Sanofi,Pack Size: 1 Vial,https://dawaai.pk/medicine/aventriax-5-45045.html,117,130
620,Aventriax,Sanofi,Pack Size: 1 Vial,https://dawaai.pk/medicine/aventriax-6-45046.html,197,219
621,Amoxi-Clav,Sandoz,Pack Size: 3x2's,https://dawaai.pk/medicine/amoxi-clav-16-45907.html,193,214
622,Artelac Nighttime,Bausch + Lomb,Pack Size: 10gm,https://dawaai.pk/medicine/artelac-nighttime-45919.html,"1,215","1,350"
623,Artelac Advanced,Bausch + Lomb,Pack Size: 3x10's Single Dose Units,https://dawaai.pk/medicine/artelac-advanced-45926.html,"2,841","3,156"
624,Antine,Wise Pharma,Pack Size: 20's,https://dawaai.pk/medicine/antine-4-46083.html,117,130
625,Avastin,Roche,Pack Size: 4ml,https://dawaai.pk/medicine/avastin-46422.html,"25,920","28,800"
626,Avastin,Roche,Pack Size: 16ml,https://dawaai.pk/medicine/avastin-1-46423.html,"103,050","114,500"
627,Abriva Plus,CCL,Pack Size: 2 x 14's,https://dawaai.pk/medicine/-47258.html,"5,555","6,172"
628,Artem,Hilton,Pack Size: 60 ml,https://dawaai.pk/medicine/artem-15-mg-90-mg-syrup-60-ml-pack-47842.html,253,281
629,Adrance,Atco,Pack Size: 2 x 7's,https://dawaai.pk/medicine/adrance-10-mg-tablets-2-x-7s-pack-47883.html,126,140
630,Adrance,Atco,Pack Size: 2 x 7's,https://dawaai.pk/medicine/adrance-25-mg-tablets-2-x-7s-pack-47884.html,207,230
631,AZM,Ethical Laboratories,Pack Size: 3 x 10's,https://dawaai.pk/medicine/azm-250-mg-tablets-3-x-10s-pack-50222.html,224,249
632,Actrapid HM Penfill,Novo Nordisk,Pack Size: 1 x 3 ml,https://dawaai.pk/medicine/actrapid-hm-penfill-100iu-1-x-3-ml-pack-50273.html,352,391
633,Adalat Retard,Bayer,Pack Size: 30s,https://dawaai.pk/medicine/AdalatRetard-Tablet20-67.html,51,57
634,Adalat LA,Bayer,Pack Size: 20,https://dawaai.pk/medicine/AdalatLA-Tablet60-265.html,373,414
635,Alp,Hilton,Pack Size: 3x10's,https://dawaai.pk/medicine/alp-025mg-603.html,51,56
636,Alp,Hilton,Pack Size: 3x10's,https://dawaai.pk/medicine/alp-05mg-604.html,85,95
637,Alcaine,Alcon Pharma,Pack Size: 1,https://dawaai.pk/medicine/alcaine-697.html,230,255
638,Ativan,Wyeth,Pack Size: 10x10's,https://dawaai.pk/medicine/ativan-1mg-754.html,18,20
639,Azolam 0.5mg,Martin Dow Marker,Pack Size: 30,https://dawaai.pk/medicine/azolam-05mg-990.html,62,69
640,AD3 Supreme Vitamin D3,Sunplus,Pack Size: 1,https://dawaai.pk/medicine/ad3-supreme-vitamin-d3-200000iu-1313.html,99,110
641,Arthrotec,Pfizer,Pack Size: 2x10's,https://dawaai.pk/medicine/arthrotec-50-1336.html,143,159
642,Amax Oral,Matrix,Pack Size: 10 ml,https://dawaai.pk/medicine/amax-oral-drops-1623.html,360,400
643,Avamys,GlaxoSmithKline,Pack Size: 1,https://dawaai.pk/medicine/avamys-1746.html,788,875
644,Atopalm Moisturizing Body Lotion,Atopalm,Pack Size: 1,https://dawaai.pk/medicine/atopalm-moisturizing-body-lotion-1863.html,"2,685","2,984"
645,Avsar 80mg/5mg,Pharm Evo,Pack Size: 2x7,https://dawaai.pk/medicine/avsar-80mg5mg-2705.html,148,164
646,Amoxi- Clav,Novartis,Pack Size: 1x6's,https://dawaai.pk/medicine/amoxi-clav-1000mg-5294.html,148,165
647,Alzilo,Searle,Pack Size: 1x10's,https://dawaai.pk/medicine/alzilo-1mg-tab-5531.html,303,337
648,AMOXIL Forte 250 MG/5ML,GlaxoSmithKline,Pack Size: 90ml,https://dawaai.pk/medicine/amoxil-amoxicillin-250-mg5ml-90ml-suspension-5544.html,103,114
649,Ativan 2mg,Wyeth,Pack Size: 100,https://dawaai.pk/medicine/ativan-lorazepam-2-mg-tablet-5577.html,15,17
650,Analgesic,Searle,Pack Size: 20gm,https://dawaai.pk/medicine/painlift-analgesic-cream-20gm-9713.html,126,140
651,Arcalion,Servier,Pack Size: 2x10's,https://dawaai.pk/medicine/arcalion-tablets-10622.html,140,156
652,Aksopressor,Akson,Pack Size: 3x10s,https://dawaai.pk/medicine/aksopressor-10760.html,53,59
653,Atelor,Pharmadic,Pack Size: 20s,https://dawaai.pk/medicine/atelor-2-10811.html,95,105
654,ATN,Flow Pharma,Pack Size: 20s,https://dawaai.pk/medicine/atn-2-10832.html,126,140
655,Atril,Star,Pack Size: 20s,https://dawaai.pk/medicine/atril-3-10835.html,135,150
656,Amarit,Reko,Pack Size: 2x10s,https://dawaai.pk/medicine/amarit-2-11036.html,54,60
657,Amarit,Reko,Pack Size: 2x10s,https://dawaai.pk/medicine/amarit-3-11037.html,72,80
658,Amaryl,Sanofi,Pack Size: 2x15's,https://dawaai.pk/medicine/amaryl-11038.html,140,155
659,Amarit Plus,Reko,Pack Size: 30s,https://dawaai.pk/medicine/amarit-plus-11271.html,52,57
660,Algaphan,Efroze,Pack Size: 100,https://dawaai.pk/medicine/algaphan-11985.html,107,119
661,Aknal,Akhai,Pack Size: 10 Ampx1ml,https://dawaai.pk/medicine/aknal-12015.html,69,77
662,Aknal,Akhai,Pack Size: 10 Ampx1ml,https://dawaai.pk/medicine/aknal-1-12016.html,59,66
663,Analin,Medicaids,Pack Size: 10 Ampx1ml,https://dawaai.pk/medicine/analin-12017.html,82,91
664,Analin,Medicaids,Pack Size: 10 Ampx1ml,https://dawaai.pk/medicine/analin-1-12018.html,69,77
665,Acugesic,AL-Hameed,Pack Size: 30,https://dawaai.pk/medicine/acugesic-12062.html,91,101
666,Adolan Sr,Siza,Pack Size: 1x10's,https://dawaai.pk/medicine/adolan-1-12064.html,144,160
667,Adolan,Siza,Pack Size: 10 Amp,https://dawaai.pk/medicine/adolan-2-12065.html,29,32
668,Abocain,Abbott Laboratories,Pack Size: 5 Ampx10 ml,https://dawaai.pk/medicine/abocain-12110.html,20,22
669,Abocain,Abbott Laboratories,Pack Size: 5 Ampx2 ml,https://dawaai.pk/medicine/abocain-2-12112.html,61,68
670,Anacaine,Akson,Pack Size: 25 Ampx10 ml,https://dawaai.pk/medicine/anacaine-1-12144.html,12,14
671,Abaglin,Polyfine,Pack Size: 10,https://dawaai.pk/medicine/abaglin-1-12321.html,135,150
672,Abapen,Bosch,Pack Size: 10,https://dawaai.pk/medicine/abapen-1-12323.html,135,150
673,Abapen,Bosch,Pack Size: 10,https://dawaai.pk/medicine/abapen-2-12324.html,180,200
674,Aropen,Hygeia,Pack Size: 10,https://dawaai.pk/medicine/aropen-12325.html,135,150
675,Atcomid,Atco,Pack Size: 20ml,https://dawaai.pk/medicine/atcomid-12474.html,371,412
676,Atcomid,Atco,Pack Size: 14,https://dawaai.pk/medicine/atcomid-2-12476.html,466,518
677,Albotram,Albro,Pack Size: 30,https://dawaai.pk/medicine/albotram-12540.html,180,200
678,Albotram,Albro,Pack Size: 3x10's,https://dawaai.pk/medicine/albotram-1-12541.html,444,493
679,Abalin,EG Pharma,Pack Size: 14,https://dawaai.pk/medicine/abalin-12616.html,315,350
680,Amtec,Shrooq,Pack Size: 30,https://dawaai.pk/medicine/amtec-12678.html,675,750
681,Amtec,Shrooq,Pack Size: 60,https://dawaai.pk/medicine/amtec-1-12679.html,810,900
682,Amtec,Shrooq,Pack Size: 60,https://dawaai.pk/medicine/amtec-2-12680.html,"1,080","1,200"
683,Apimate,TG Pharma,Pack Size: 6x10's,https://dawaai.pk/medicine/apimate-12681.html,72,80
684,Apimate,TG Pharma,Pack Size: 6x10's,https://dawaai.pk/medicine/apimate-1-12682.html,135,150
685,Awapram,Usawa,Pack Size: 6x10's,https://dawaai.pk/medicine/awapram-12683.html,113,125
686,Acneklin,Ipharm,Pack Size: 1,https://dawaai.pk/medicine/acneklin-12752.html,258,287
687,Acnemycin,Ambrosia,Pack Size: 1,https://dawaai.pk/medicine/acnemycin-12753.html,288,320
688,Atramed,Mediceena,Pack Size: 5 Ampx2.5ml,https://dawaai.pk/medicine/atramed-12903.html,81,90
689,Atramed,Mediceena,Pack Size: 5 Ampx5ml,https://dawaai.pk/medicine/atramed-1-12904.html,144,160
690,Atrelax,Abbott Laboratories,Pack Size: 5 Ampx2.5ml,https://dawaai.pk/medicine/atrelax-12905.html,107,119
691,Atrelax,Abbott Laboratories,Pack Size: 5 Ampx5ml,https://dawaai.pk/medicine/atrelax-1-12906.html,207,230
692,Acetor,Neo Medix,Pack Size: 10x10s,https://dawaai.pk/medicine/acetor-12915.html,16,18
693,Angesic,Mass-PH Health,Pack Size: 10x10s,https://dawaai.pk/medicine/angesic-12917.html,17,19
694,Arcozid,PPP,Pack Size: 10,https://dawaai.pk/medicine/arcozid-12957.html,101,112
695,Arilax,E-Lite,Pack Size: 10 Ampx2 ml,https://dawaai.pk/medicine/arilax-1-13043.html,30,33
696,Angiotan,Efroze,Pack Size: 14,https://dawaai.pk/medicine/angiotan-13155.html,252,280
697,Angiotan,Efroze,Pack Size: 14,https://dawaai.pk/medicine/angiotan-1-13156.html,176,196
698,Amlortan,Genome Pharma,Pack Size: 2x7's,https://dawaai.pk/medicine/amlortan-13189.html,385,428
699,Amlortan,Genome Pharma,Pack Size: 2x7's,https://dawaai.pk/medicine/amlortan-1-13190.html,359,399
700,Amlortan,Genome Pharma,Pack Size: 2x7 's,https://dawaai.pk/medicine/amlortan-3-13192.html,214,238
701,Amstan,Scilife,Pack Size: 28,https://dawaai.pk/medicine/amstan-1-13197.html,479,532
702,Atasart,Hansel,Pack Size: 2x10s,https://dawaai.pk/medicine/atasart-13272.html,178,198
703,Atasart,Hansel,Pack Size: 2x10s,https://dawaai.pk/medicine/atasart-1-13273.html,98,109
704,AHT,Ethical Laboratories,Pack Size: 10,https://dawaai.pk/medicine/aht-13315.html,180,200
705,AHT DIU,Ethical Laboratories,Pack Size: 10,https://dawaai.pk/medicine/aht-diu-13330.html,189,210
706,Aceartin,Epla,Pack Size: 2x10s,https://dawaai.pk/medicine/aceartin-13341.html,90,100
707,Angilock,Venus,Pack Size: 2x10s,https://dawaai.pk/medicine/angilock-13342.html,113,125
708,Anhibit,Medicraft,Pack Size: 20,https://dawaai.pk/medicine/anhibit-13343.html,101,113
709,Anhibit Plus,Medicraft,Pack Size: 20,https://dawaai.pk/medicine/anhibit-plus-13368.html,135,150
710,Artazide,Pharmatec,Pack Size: 2 x 10's,https://dawaai.pk/medicine/artazide-13369.html,106,118
711,Adenuric,S.J. & G. Fazul Ellahie,Pack Size: 20,https://dawaai.pk/medicine/adenuric-13412.html,158,175
712,Adronate,Jinnah Pharma,Pack Size: 10,https://dawaai.pk/medicine/adronate-13443.html,324,360
713,Albonate,Albro,Pack Size: 10,https://dawaai.pk/medicine/albonate-13444.html,373,414
714,Albonate,Albro,Pack Size: 10,https://dawaai.pk/medicine/albonate-1-13445.html,"1,350","1,500"
715,Alendrate,Global Pharma,Pack Size: 10,https://dawaai.pk/medicine/alendrate-13447.html,139,154
716,Alendrate,Global Pharma,Pack Size: 10,https://dawaai.pk/medicine/alendrate-1-13448.html,801,890
717,Alendrate,Global Pharma,Pack Size: 4,https://dawaai.pk/medicine/alendrate-2-13449.html,320,356
718,Alendroflex,Novins,Pack Size: 10,https://dawaai.pk/medicine/alendroflex-13450.html,171,190
719,Alendroflex,Novins,Pack Size: 10,https://dawaai.pk/medicine/alendroflex-1-13451.html,900,"1,000"
720,Alendroflex,Novins,Pack Size: 4,https://dawaai.pk/medicine/alendroflex-2-13452.html,277,308
721,Alendroflex D,Novins,Pack Size: 4,https://dawaai.pk/medicine/alendroflex-d-13481.html,331,368
722,Aminomux,Segionior,Pack Size: 30,https://dawaai.pk/medicine/aminomux-13496.html,"1,804","2,004"
723,Aminomux,Segionior,Pack Size: 5 Amp,https://dawaai.pk/medicine/aminomux-1-13497.html,961,"1,068"
724,Aminomux,Segionior,Pack Size: 1 Vial,https://dawaai.pk/medicine/aminomux-2-13498.html,"2,478","2,753"
725,Aredia,Novartis,Pack Size: 4 Vial,https://dawaai.pk/medicine/aredia-13500.html,"1,632","1,813"
726,Actonel,Sanofi,Pack Size: 4,https://dawaai.pk/medicine/actonel-13514.html,"1,710","1,900"
727,Actonel,Sanofi,Pack Size: 2x14s,https://dawaai.pk/medicine/actonel-1-13515.html,907,"1,008"
728,Atconate,Atco,Pack Size: 4,https://dawaai.pk/medicine/atconate-1-13517.html,308,342
729,Azebone,Pharmix,Pack Size: 4,https://dawaai.pk/medicine/azebone-13518.html,444,493
730,Aclasta,Novartis,Pack Size: 1 Vial,https://dawaai.pk/medicine/aclasta-13534.html,"28,800","32,000"
731,Asterotide,Aster,Pack Size: 1 Ampx1 ml,https://dawaai.pk/medicine/asterotide-13544.html,333,370
732,Alkacitron,PDH,Pack Size: 20 sachet,https://dawaai.pk/medicine/alkacitron-13574.html,7,8
733,Aldopa,Irza,Pack Size: 10x10's,https://dawaai.pk/medicine/aldopa-14402.html,32,35
734,Azopik,Wise Pharma,Pack Size: 1x6's,https://dawaai.pk/medicine/azopik-14408.html,135,150
735,Azopik,Wise Pharma,Pack Size: 1x6's,https://dawaai.pk/medicine/azopik-1-14409.html,248,275
736,Azores,Saydon,Pack Size: 1x6's,https://dawaai.pk/medicine/azores-14410.html,134,149
737,Azores,Saydon,Pack Size: 22.5ml,https://dawaai.pk/medicine/azores-1-14411.html,134,149
738,Azorox,Caylex,Pack Size: 1x6's,https://dawaai.pk/medicine/azorox-14412.html,135,150
739,Azorox,Caylex,Pack Size: 1x3's,https://dawaai.pk/medicine/azorox-1-14413.html,113,125
740,Azorox,Caylex,Pack Size: 1x5's,https://dawaai.pk/medicine/azorox-2-14414.html,178,198
741,Azorox,Caylex,Pack Size: 15ml,https://dawaai.pk/medicine/azorox-3-14415.html,126,140
742,Azotag,Biorex,Pack Size: 6,https://dawaai.pk/medicine/azotag-1-14417.html,138,153
743,Azotine,Nimrall,Pack Size: 10,https://dawaai.pk/medicine/azotine-14420.html,230,255
744,Azotine,Nimrall,Pack Size: 3,https://dawaai.pk/medicine/azotine-1-14421.html,113,125
745,Azotine,Nimrall,Pack Size: 15ml,https://dawaai.pk/medicine/azotine-2-14422.html,149,165
746,Azour,Mercy,Pack Size: 6,https://dawaai.pk/medicine/azour-14423.html,140,156
747,Azour,Mercy,Pack Size: 6,https://dawaai.pk/medicine/azour-1-14424.html,232,258
748,Azour,Mercy,Pack Size: 15ml,https://dawaai.pk/medicine/azour-2-14425.html,130,145
749,Azowin,Wise Pharma,Pack Size: 10,https://dawaai.pk/medicine/azowin-14426.html,230,255
750,Azoxin,Flow Pharma,Pack Size: 6,https://dawaai.pk/medicine/azoxin-14427.html,224,249
751,Azoxin,Flow Pharma,Pack Size: 15ml,https://dawaai.pk/medicine/azoxin-1-14428.html,149,165
752,Azrocin,Obasons,Pack Size: 6,https://dawaai.pk/medicine/azrocin-14429.html,227,253
753,Azrocin,Obasons,Pack Size: 15ml,https://dawaai.pk/medicine/azrocin-1-14430.html,165,183
754,Azrowin,Wns Field,Pack Size: 10,https://dawaai.pk/medicine/azrowin-14431.html,230,255
755,Azrowin,Wns Field,Pack Size: 3,https://dawaai.pk/medicine/azrowin-1-14432.html,113,125
756,Azrowin,Wns Field,Pack Size: 6,https://dawaai.pk/medicine/azrowin-2-14433.html,214,238
757,Azrowin,Wns Field,Pack Size: 1 Vial,https://dawaai.pk/medicine/azrowin-3-14434.html,180,200
758,Azrowin,Wns Field,Pack Size: 15ml,https://dawaai.pk/medicine/azrowin-4-14435.html,149,165
759,Aztrix,Medisure,Pack Size: 6,https://dawaai.pk/medicine/aztrix-14436.html,230,255
760,Azure,Fynk,Pack Size: 15ml,https://dawaai.pk/medicine/azure-14437.html,149,165
761,Azure,Fynk,Pack Size: 10,https://dawaai.pk/medicine/azure-1-14438.html,225,250
762,Azure,Fynk,Pack Size: 6,https://dawaai.pk/medicine/azure-2-14439.html,248,275
763,Azza,Mediceena,Pack Size: 10,https://dawaai.pk/medicine/azza-14440.html,230,255
764,Alercid,Alina,Pack Size: 60ml,https://dawaai.pk/medicine/alercid-14692.html,201,223
765,Alercid,Alina,Pack Size: 10,https://dawaai.pk/medicine/alercid-1-14693.html,216,240
766,Alercid,Alina,Pack Size: 10,https://dawaai.pk/medicine/alercid-2-14694.html,401,445
767,Amiclar,Ambrosia,Pack Size: 10,https://dawaai.pk/medicine/amiclar-14695.html,216,240
768,Amiclar,Ambrosia,Pack Size: 10,https://dawaai.pk/medicine/amiclar-1-14696.html,401,445
769,Apro,Panacea,Pack Size: 10,https://dawaai.pk/medicine/apro-14697.html,216,240
770,Apro,Panacea,Pack Size: 10,https://dawaai.pk/medicine/apro-1-14698.html,401,445
771,Apticlar,L A Kurative,Pack Size: 10,https://dawaai.pk/medicine/apticlar-14699.html,216,240
772,Apticlar,L A Kurative,Pack Size: 10,https://dawaai.pk/medicine/apticlar-1-14700.html,401,445
773,Arithro,Nova Med,Pack Size: 60ml,https://dawaai.pk/medicine/arithro-14701.html,201,223
